Data Type,Device Name,Room Name,Timestamp,TIME,MINUTE,HOUR,Datetime,Value
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71163E+12,12:02:57,00:00:00,12:00:00,2024-03-28T12:02:56.962Z,23.2376752
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71164E+12,14:35:46,00:00:00,14:00:00,2024-03-28T14:35:45.776Z,23.7301814
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71165E+12,17:35:07,00:00:00,17:00:00,2024-03-28T17:35:07.107Z,24.22558605
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71166E+12,20:18:42,00:00:00,20:00:00,2024-03-28T20:18:42.041Z,24.47106454
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71166E+12,21:18:55,00:00:00,21:00:00,2024-03-28T21:18:54.548Z,24.5268484
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71167E+12,23:47:46,00:00:00,23:00:00,2024-03-28T23:47:46.229Z,24.4433613
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71168E+12,03:39:23,00:00:00,03:00:00,2024-03-29T03:39:23.190Z,24.25569598
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71169E+12,04:11:53,00:00:00,04:00:00,2024-03-29T04:11:53.111Z,28.6682
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71172E+12,12:41:23,00:00:00,12:00:00,2024-03-29T12:41:22.619Z,29.7241
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71172E+12,12:50:26,00:00:00,12:00:00,2024-03-29T12:50:26.275Z,24.24002198
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71172E+12,13:50:50,00:00:00,13:00:00,2024-03-29T13:50:50.207Z,24.35436649
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71173E+12,15:21:29,00:00:00,15:00:00,2024-03-29T15:21:29.088Z,24.56574987
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71173E+12,17:07:58,00:00:00,17:00:00,2024-03-29T17:07:58.034Z,24.8512124
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71174E+12,20:02:52,00:00:00,20:00:00,2024-03-29T20:02:51.837Z,25.1914343
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71174E+12,20:35:37,00:00:00,20:00:00,2024-03-29T20:35:36.651Z,25.31900072
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71175E+12,21:23:28,00:00:00,21:00:00,2024-03-29T21:23:28.052Z,25.28897554
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71175E+12,22:08:25,00:00:00,22:00:00,2024-03-29T22:08:24.852Z,25.13905666
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71175E+12,22:51:26,00:00:00,22:00:00,2024-03-29T22:51:26.500Z,24.90121749
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71177E+12,02:40:47,00:00:00,02:00:00,2024-03-30T02:40:47.149Z,28.6499
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71178E+12,05:20:36,00:00:00,05:00:00,2024-03-30T05:20:36.132Z,24.59636312
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71181E+12,14:42:19,00:00:00,14:00:00,2024-03-30T14:42:19.365Z,24.49302234
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71181E+12,15:40:17,00:00:00,15:00:00,2024-03-30T15:40:17.358Z,24.54089175
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71182E+12,16:36:58,00:00:00,16:00:00,2024-03-30T16:36:57.604Z,24.70374382
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71182E+12,18:08:45,00:00:00,18:00:00,2024-03-30T18:08:45.418Z,24.95143286
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71183E+12,20:48:29,00:00:00,20:00:00,2024-03-30T20:48:28.510Z,25.26227465
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71183E+12,21:24:59,00:00:00,21:00:00,2024-03-30T21:24:59.397Z,25.36933098
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71184E+12,22:18:01,00:00:00,22:00:00,2024-03-30T22:18:01.202Z,25.32214824
